"STATISTIC","Statistic Label","TLIST(A1)","Year","C03908V04660","Social Protection Expenditure","UNIT","VALUE"
"SPEA02C01","Social Protection Expenditure by function","2000","2000","1000000","Total Social Protection Expenditure","€million","16466"
"SPEA02C01","Social Protection Expenditure by function","2000","2000","1100000","Expenditure, Social Protection Benefits","€million","15584"
"SPEA02C01","Social Protection Expenditure by function","2000","2000","1110000","Expenditure, Sickness benefits","€million","5517"
"SPEA02C01","Social Protection Expenditure by function","2000","2000","1120000","Expenditure, Disability benefits","€million","682"
"SPEA02C01","Social Protection Expenditure by function","2000","2000","1130000","Expenditure, Old age benefits","€million","4444"
"SPEA02C01","Social Protection Expenditure by function","2000","2000","1140000","Expenditure, Survivor benefits","€million","964"
"SPEA02C01","Social Protection Expenditure by function","2000","2000","1150000","Expenditure, Family benefits","€million","1883"
"SPEA02C01","Social Protection Expenditure by function","2000","2000","1160000","Expenditure, Unemployment benefits","€million","1429"
"SPEA02C01","Social Protection Expenditure by function","2000","2000","1170000","Expenditure, Housing benefits","€million","365"
"SPEA02C01","Social Protection Expenditure by function","2000","2000","1180000","Expenditure, Social exclusion benefits n.e.c.","€million","300"
"SPEA02C01","Social Protection Expenditure by function","2000","2000","1200000","Expenditure, Social Protection - Administration Costs","€million","882"
"SPEA02C01","Social Protection Expenditure by function","2001","2001","1000000","Total Social Protection Expenditure","€million","19300"
"SPEA02C01","Social Protection Expenditure by function","2001","2001","1100000","Expenditure, Social Protection Benefits","€million","18409"
"SPEA02C01","Social Protection Expenditure by function","2001","2001","1110000","Expenditure, Sickness benefits","€million","6826"
"SPEA02C01","Social Protection Expenditure by function","2001","2001","1120000","Expenditure, Disability benefits","€million","786"
"SPEA02C01","Social Protection Expenditure by function","2001","2001","1130000","Expenditure, Old age benefits","€million","5013"
"SPEA02C01","Social Protection Expenditure by function","2001","2001","1140000","Expenditure, Survivor benefits","€million","1076"
"SPEA02C01","Social Protection Expenditure by function","2001","2001","1150000","Expenditure, Family benefits","€million","2400"
"SPEA02C01","Social Protection Expenditure by function","2001","2001","1160000","Expenditure, Unemployment benefits","€million","1520"
"SPEA02C01","Social Protection Expenditure by function","2001","2001","1170000","Expenditure, Housing benefits","€million","446"
"SPEA02C01","Social Protection Expenditure by function","2001","2001","1180000","Expenditure, Social exclusion benefits n.e.c.","€million","342"
"SPEA02C01","Social Protection Expenditure by function","2001","2001","1200000","Expenditure, Social Protection - Administration Costs","€million","891"
"SPEA02C01","Social Protection Expenditure by function","2002","2002","1000000","Total Social Protection Expenditure","€million","22294"
