"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02199V02655","Sex","C01999V02434","ILO Economic Status","UNIT","VALUE"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","-","Both sexes","-","All ILO economic status","Thousand","2857.2"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","-","Both sexes","01","In labour force","Thousand","1699"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","-","Both sexes","02","In employment","Thousand","1550.3"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","-","Both sexes","03","In employment full-time","Thousand","1282.6"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","-","Both sexes","04","In employment part-time","Thousand","267.7"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","-","Both sexes","05","In employment part-time - not underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","-","Both sexes","06","In employment part-time - underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","-","Both sexes","07","Unemployed","Thousand","148.7"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","-","Both sexes","08","Unemployed seeking full-time work/future job-starter","Thousand","115"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","-","Both sexes","09","Unemployed seeking part-time work","Thousand","27.9"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","-","Both sexes","10","Not in labour force","Thousand","1158.2"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","-","Both sexes","11","Potential additional labour force","Thousand","28"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","-","Both sexes","12","Others not in labour force","Thousand","1130.1"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","-","Both sexes","14","Unemployed seeking work as self-employed","Thousand","5.8"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","1","Male","-","All ILO economic status","Thousand","1404.5"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","1","Male","01","In labour force","Thousand","1019.6"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","1","Male","02","In employment","Thousand","934.9"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","1","Male","03","In employment full-time","Thousand","856"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","1","Male","04","In employment part-time","Thousand","78.9"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","1","Male","05","In employment part-time - not underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","1","Male","06","In employment part-time - underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","1","Male","07","Unemployed","Thousand","84.7"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","1","Male","08","Unemployed seeking full-time work/future job-starter","Thousand","77.4"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","1","Male","09","Unemployed seeking part-time work","Thousand","3.4"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","1","Male","10","Not in labour force","Thousand","384.9"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","1","Male","11","Potential additional labour force","Thousand","14.3"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","1","Male","12","Others not in labour force","Thousand","370.6"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","1","Male","14","Unemployed seeking work as self-employed","Thousand","3.9"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","2","Female","-","All ILO economic status","Thousand","1452.7"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","2","Female","01","In labour force","Thousand","679.4"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","2","Female","02","In employment","Thousand","615.4"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","2","Female","03","In employment full-time","Thousand","426.6"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","2","Female","04","In employment part-time","Thousand","188.9"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","2","Female","05","In employment part-time - not underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","2","Female","06","In employment part-time - underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","2","Female","07","Unemployed","Thousand","64"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","2","Female","08","Unemployed seeking full-time work/future job-starter","Thousand","37.6"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","2","Female","09","Unemployed seeking part-time work","Thousand","24.5"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","2","Female","10","Not in labour force","Thousand","773.3"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","2","Female","11","Potential additional labour force","Thousand","13.7"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","2","Female","12","Others not in labour force","Thousand","759.5"
"QLF01C01","Persons aged 15 years and over","19981","1998Q1","2","Female","14","Unemployed seeking work as self-employed","Thousand","1.9"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","-","Both sexes","-","All ILO economic status","Thousand","2872.4"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","-","Both sexes","01","In labour force","Thousand","1710.7"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","-","Both sexes","02","In employment","Thousand","1572"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","-","Both sexes","03","In employment full-time","Thousand","1301.9"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","-","Both sexes","04","In employment part-time","Thousand","270"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","-","Both sexes","05","In employment part-time - not underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","-","Both sexes","06","In employment part-time - underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","-","Both sexes","07","Unemployed","Thousand","138.7"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","-","Both sexes","08","Unemployed seeking full-time work/future job-starter","Thousand","108.6"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","-","Both sexes","09","Unemployed seeking part-time work","Thousand","24.5"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","-","Both sexes","10","Not in labour force","Thousand","1161.7"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","-","Both sexes","11","Potential additional labour force","Thousand","34.5"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","-","Both sexes","12","Others not in labour force","Thousand","1127.1"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","-","Both sexes","14","Unemployed seeking work as self-employed","Thousand","5.6"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","1","Male","-","All ILO economic status","Thousand","1412.2"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","1","Male","01","In labour force","Thousand","1029"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","1","Male","02","In employment","Thousand","948.2"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","1","Male","03","In employment full-time","Thousand","868.8"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","1","Male","04","In employment part-time","Thousand","79.4"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","1","Male","05","In employment part-time - not underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","1","Male","06","In employment part-time - underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","1","Male","07","Unemployed","Thousand","80.8"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","1","Male","08","Unemployed seeking full-time work/future job-starter","Thousand","73.1"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","1","Male","09","Unemployed seeking part-time work","Thousand","3.6"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","1","Male","10","Not in labour force","Thousand","383.2"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","1","Male","11","Potential additional labour force","Thousand","17.1"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","1","Male","12","Others not in labour force","Thousand","366.1"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","1","Male","14","Unemployed seeking work as self-employed","Thousand","4.1"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","2","Female","-","All ILO economic status","Thousand","1460.2"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","2","Female","01","In labour force","Thousand","681.8"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","2","Female","02","In employment","Thousand","623.8"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","2","Female","03","In employment full-time","Thousand","433.1"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","2","Female","04","In employment part-time","Thousand","190.7"
