Year,Period,Scheme_description,Residence_county,Recipients
2014,1,Child Benefit,Carlow,8319
2014,1,Family Income Supplement,Carlow,774
2014,1,Child Benefit,Cavan,10349
2014,1,Family Income Supplement,Cavan,1089
2014,1,Child Benefit,Clare,15958
2014,1,Family Income Supplement,Clare,1170
2014,1,Child Benefit,Cork,69033
2014,1,Family Income Supplement,Cork,5089
2014,1,Child Benefit,Donegal,20597
2014,1,Family Income Supplement,Donegal,2201
2014,1,Child Benefit,Dublin,158504
2014,1,Family Income Supplement,Dublin,10852
2014,1,Child Benefit,Galway,31454
2014,1,Family Income Supplement,Galway,2231
2014,1,Child Benefit,Kerry,18397
2014,1,Family Income Supplement,Kerry,1447
2014,1,Child Benefit,Kildare,32378
2014,1,Family Income Supplement,Kildare,1999
2014,1,Child Benefit,Kilkenny,13020
2014,1,Family Income Supplement,Kilkenny,875
2014,1,Child Benefit,Laois,11965
2014,1,Family Income Supplement,Laois,966
2014,1,Child Benefit,Leitrim,4141
2014,1,Family Income Supplement,Leitrim,328
2014,1,Child Benefit,Limerick,24673
2014,1,Family Income Supplement,Limerick,1983
2014,1,Child Benefit,Longford,5582
2014,1,Family Income Supplement,Longford,640
2014,1,Child Benefit,Louth,18141
2014,1,Family Income Supplement,Louth,1739
2014,1,Child Benefit,Mayo,15927
2014,1,Family Income Supplement,Mayo,1471
2014,1,Child Benefit,Meath,29387
2014,1,Family Income Supplement,Meath,2005
2014,1,Child Benefit,Monaghan,8088
2014,1,Family Income Supplement,Monaghan,903
2014,1,Child Benefit,Offaly,10666
2014,1,Family Income Supplement,Offaly,949
2014,1,Child Benefit,Roscommon,8202
2014,1,Family Income Supplement,Roscommon,682
2014,1,Child Benefit,Sligo,8110
2014,1,Family Income Supplement,Sligo,640
2014,1,Child Benefit,Tipperary,21590
2014,1,Family Income Supplement,Tipperary,1887
2014,1,Child Benefit,Waterford,15645
2014,1,Family Income Supplement,Waterford,1450
2014,1,Child Benefit,Westmeath,12219
2014,1,Family Income Supplement,Westmeath,1050
2014,1,Child Benefit,Wexford,21322
2014,1,Family Income Supplement,Wexford,1987
2014,1,Child Benefit,Wicklow,19769
2014,1,Family Income Supplement,Wicklow,1121
2014,1,Carers Allowance,Carlow,962
2014,1,Carers Benefit,Carlow,16
2014,1,Illness Benefit,Carlow,1617
2014,1,Disability Allowance,Carlow,1607
2014,1,Invalidity Pension,Carlow,926
2014,1,Carers Allowance,Cavan,954
2014,1,Carers Benefit,Cavan,33
2014,1,Illness Benefit,Cavan,1770
2014,1,Disability Allowance,Cavan,1530
2014,1,Invalidity Pension,Cavan,679
2014,1,Carers Allowance,Clare,1575
2014,1,Carers Benefit,Clare,38
2014,1,Illness Benefit,Clare,2301
2014,1,Disability Allowance,Clare,2739
2014,1,Invalidity Pension,Clare,1214
2014,1,Carers Allowance,Cork,6773
2014,1,Carers Benefit,Cork,210
2014,1,Illness Benefit,Cork,12642
2014,1,Disability Allowance,Cork,13281
2014,1,Invalidity Pension,Cork,7241
2014,1,Carers Allowance,Donegal,3274
2014,1,Carers Benefit,Donegal,63
2014,1,Illness Benefit,Donegal,2965
2014,1,Disability Allowance,Donegal,4732
2014,1,Invalidity Pension,Donegal,1574
2014,1,Carers Allowance,Dublin,11360
2014,1,Carers Benefit,Dublin,342
