period,programme,scheme,scheme_description,basis,county,county_code,UGI,recipients
2014Q1,Children,CB,Child Benefit,Social Assistance,All,All,XX,623739.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,All,All,XX,48327.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Carlow,CW,2ae19629-143d-13a3-e055-000000000001,8319.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Carlow,CW,2ae19629-143d-13a3-e055-000000000001,774.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Cavan,CN,2ae19629-1448-13a3-e055-000000000001,10349.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Cavan,CN,2ae19629-1448-13a3-e055-000000000001,1089.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Clare,CE,2ae19629-1450-13a3-e055-000000000001,15958.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Clare,CE,2ae19629-1450-13a3-e055-000000000001,1170.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Cork,CK,2ae19629-1451-13a3-e055-000000000001,69033.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Cork,CK,2ae19629-1451-13a3-e055-000000000001,5089.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Donegal,DL,2ae19629-1452-13a3-e055-000000000001,20597.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Donegal,DL,2ae19629-1452-13a3-e055-000000000001,2201.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Dublin,DN,2ae19629-144f-13a3-e055-000000000001,158504.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Dublin,DN,2ae19629-144f-13a3-e055-000000000001,10852.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Galway,GY,2ae19629-1453-13a3-e055-000000000001,31454.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Galway,GY,2ae19629-1453-13a3-e055-000000000001,2231.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Kerry,KY,2ae19629-1454-13a3-e055-000000000001,18397.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Kerry,KY,2ae19629-1454-13a3-e055-000000000001,1447.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Kildare,KE,2ae19629-1455-13a3-e055-000000000001,32378.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Kildare,KE,2ae19629-1455-13a3-e055-000000000001,1999.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Kilkenny,KK,2ae19629-1456-13a3-e055-000000000001,13020.0
